Project ID,Project Type,Country,Phase,Start Date,Actual_Duration,Actual_Cost,Planned_Duration,Planned_Cost,Var_Deliverables
10,Marketing - Launch of new product,Benin,Phase 3 - Implementation,6/30/17 9:00,17,93000,15,100000,-0.12
11,Marketing - Launch of new product,Italie,Phase 4 - Manufacturing,12/3/17 9:00,38.5,1008000,36,900000,-0.13
1,Marketing - Launch of new product,Equateur,Phase 1 - Planning,8/21/17 9:00,29,64000,30.5,50000,-0.05
1,Marketing - Launch of new product,Equateur,Phase 2 - Initiation,9/19/17 9:00,22,128000,23,100000,-0.05
14,Marketing - Launch of new product,Croatie,Phase 4 - Manufacturing,8/8/17 9:00,17.5,553500,18,450000,-0.04
8,Marketing - Launch of new product,Allemagne,Phase 4 - Manufacturing,7/26/17 9:00,35,909000,36,900000,-0.06
A,Marketing - Launch of new product,Bielorussie,Phase 3 - Implementation,7/25/17 9:00,28,144000,22.5,150000,-0.03
7,Marketing - Launch of new product,Hollande,Phase 3 - Implementation,11/17/17 9:00,58.5,297000,45,300000,-0.14
14,Marketing - Launch of new product,Croatie,Phase 1 - Planning,7/17/17 9:00,29.5,61500,30.5,50000,-0.04
14,Marketing - Launch of new product,Croatie,Phase 2 - Initiation,8/16/17 9:00,22.5,123000,23,100000,-0.04
15,Marketing - Launch of new product,Burkina Faso,Phase 1 - Planning,6/26/17 9:00,19,33666.66667,20.5,33333.33333,-0.09
15,Marketing - Launch of new product,Burkina Faso,Phase 2 - Initiation,7/15/17 9:00,14.5,67333.33333,15.5,66666.66667,-0.09
5,Marketing - Launch of new product,Afrique du Sud,Phase 3 - Implementation,7/6/17 9:00,23,148500,22.5,150000,-0.02
17,Marketing - Launch of new product,Espagne,Phase 4 - Manufacturing,10/1/17 9:00,33,882000,36,900000,-0.01
13,Marketing - Launch of new product,Malaysie,Phase 1 - Planning,12/4/17 9:00,40,45500,30.5,50000,0
13,Marketing - Launch of new product,Malaysie,Phase 2 - Initiation,1/13/18 9:00,30,91000,23,100000,0
18,Marketing - Launch of new product,Gabon,Phase 1 - Planning,8/21/17 9:00,25.5,31666.66667,20.5,33333.33333,-0.11
19,Marketing - Launch of new product,Republique Chèque,Phase 3 - Implementation,2/21/18 9:00,42.5,303000,45,300000,-0.01
20,Marketing - Launch of new product,Colombie,Phase 1 - Planning,7/17/17 9:00,35,61000,30.5,50000,-0.03
16,Marketing - Launch of new product,Cote d'Ivoire,Phase 1 - Planning,7/17/17 9:00,24,43333.33333,20.5,33333.33333,-0.02
16,Marketing - Launch of new product,Cote d'Ivoire,Phase 2 - Initiation,8/10/17 9:00,18.5,86666.66667,15.5,66666.66667,-0.02
2,Marketing - Launch of new product,France,Phase 1 - Planning,8/21/17 9:00,64.5,91000,61,100000,-0.08
2,Marketing - Launch of new product,France,Phase 2 - Initiation,10/25/17 9:00,48.5,182000,46,200000,-0.08
7,Marketing - Launch of new product,Hollande,Phase 4 - Manufacturing,11/16/17 9:00,47,891000,36,900000,-0.14
8,Marketing - Launch of new product,Allemagne,Phase 3 - Implementation,7/27/17 9:00,44,303000,45,300000,-0.06
5,Marketing - Launch of new product,Afrique du Sud,Phase 1 - Planning,6/12/17 9:00,31,49500,30.5,50000,-0.02
5,Marketing - Launch of new product,Afrique du Sud,Phase 2 - Initiation,7/13/17 9:00,23.5,99000,23,100000,-0.02
9,Marketing - Launch of new product,Belgique,Phase 1 - Planning,6/12/17 9:00,69,119000,61,100000,0
9,Marketing - Launch of new product,Belgique,Phase 2 - Initiation,8/20/17 9:00,52,238000,46,200000,0
10,Marketing - Launch of new product,Benin,Phase 1 - Planning,6/12/17 9:00,23,31000,20.5,33333.33333,-0.12
21,Marketing - Launch of new product,Estonie,Phase 1 - Planning,8/21/17 9:00,33.5,51000,30.5,50000,-0.06
21,Marketing - Launch of new product,Estonie,Phase 2 - Initiation,9/24/17 9:00,25.5,102000,23,100000,-0.06
22,Marketing - Launch of new product,Bresil,Phase 3 - Implementation,7/25/17 9:00,28,163500,22.5,150000,-0.14
20,Marketing - Launch of new product,Colombie,Phase 3 - Implementation,8/13/17 9:00,26,183000,22.5,150000,-0.03
23,Marketing - Launch of new product,Suisse,Phase 2 - Initiation,4/28/18 9:00,56.5,244000,46,200000,-0.06
24,Marketing - Launch of new product,Ukraine,Phase 2 - Initiation,3/18/18 9:00,22,103000,23,100000,-0.12
25,Marketing - Launch of new product,Togo,Phase 3 - Implementation,3/1/18 9:00,16,116000,15,100000,-0.07
26,Marketing - Launch of new product,Japon,Phase 4 - Manufacturing,12/8/17 9:00,42.5,981000,36,900000,-0.06
16,Marketing - Launch of new product,Cote d'Ivoire,Phase 3 - Implementation,8/5/17 9:00,18,130000,15,100000,-0.02
3,Marketing - Launch of new product,Liban,Phase 1 - Planning,11/13/17 9:00,40,63000,30.5,50000,-0.05
3,Marketing - Launch of new product,Liban,Phase 2 - Initiation,12/23/17 9:00,30,126000,23,100000,-0.05
6,Marketing - Launch of new product,Albanie,Phase 1 - Planning,6/12/17 9:00,36.5,61500,30.5,50000,-0.13
6,Marketing - Launch of new product,Albanie,Phase 2 - Initiation,7/19/17 9:00,27.5,123000,23,100000,-0.13
17,Marketing - Launch of new product,Espagne,Phase 2 - Initiation,10/16/17 9:00,42,196000,46,200000,-0.01
12,Marketing - Launch of new product,Hongrie,Phase 1 - Planning,9/18/17 9:00,66,45500,61,50000,-0.06
12,Marketing - Launch of new product,Hongrie,Phase 2 - Initiation,11/23/17 9:00,50,91000,46,100000,-0.06
27,Marketing - Launch of new product,La Reunion,Phase 4 - Manufacturing,12/12/17 9:00,23,468000,18,450000,0
28,Marketing - Launch of new product,Russie,Phase 4 - Manufacturing,3/5/18 9:00,44.5,918000,36,900000,-0.12
11,Marketing - Launch of new product,Italie,Phase 2 - Initiation,12/20/17 9:00,49,224000,46,200000,-0.13
27,Marketing - Launch of new product,La Reunion,Phase 1 - Planning,11/13/17 9:00,38.5,52000,30.5,50000,0
28,Marketing - Launch of new product,Russie,Phase 3 - Implementation,3/6/18 9:00,55.5,306000,45,300000,-0.12
19,Marketing - Launch of new product,Republique Chèque,Phase 2 - Initiation,3/7/18 9:00,43.5,202000,46,200000,-0.01
29,Marketing - Launch of new product,Indonesie,Phase 1 - Planning,10/16/17 9:00,34.5,58500,30.5,50000,-0.1
29,Marketing - Launch of new product,Indonesie,Phase 2 - Initiation,11/20/17 9:00,26,117000,23,100000,-0.1
30,Marketing - Launch of new product,Canada,Phase 1 - Planning,6/26/17 9:00,78.5,103000,61,100000,-0.12
30,Marketing - Launch of new product,Canada,Phase 2 - Initiation,9/13/17 9:00,59,206000,46,200000,-0.12
31,Marketing - Launch of new product,Chine,Phase 4 - Manufacturing,8/15/17 9:00,40,999000,36,900000,-0.05
27,Marketing - Launch of new product,La Reunion,Phase 2 - Initiation,12/22/17 9:00,29,104000,23,100000,0
28,Marketing - Launch of new product,Russie,Phase 1 - Planning,1/8/18 9:00,75.5,102000,61,100000,-0.12
28,Marketing - Launch of new product,Russie,Phase 2 - Initiation,3/25/18 9:00,57,204000,46,200000,-0.12
18,Marketing - Launch of new product,Gabon,Phase 2 - Initiation,9/16/17 9:00,19.5,63333.33333,15.5,66666.66667,-0.11
21,Marketing - Launch of new product,Estonie,Phase 3 - Implementation,9/16/17 9:00,25,153000,22.5,150000,-0.06
22,Marketing - Launch of new product,Bresil,Phase 4 - Manufacturing,7/24/17 9:00,22.5,490500,18,450000,-0.14
20,Marketing - Launch of new product,Colombie,Phase 4 - Manufacturing,8/12/17 9:00,21,549000,18,450000,-0.03
32,Marketing - Launch of new product,Turquie,Phase 1 - Planning,2/17/18 9:00,33.5,63500,30.5,50000,-0.05
17,Marketing - Launch of new product,Espagne,Phase 3 - Implementation,10/2/17 9:00,41,294000,45,300000,-0.01
12,Marketing - Launch of new product,Hongrie,Phase 3 - Implementation,11/7/17 9:00,49,136500,45,150000,-0.06
18,Marketing - Launch of new product,Gabon,Phase 3 - Implementation,9/10/17 9:00,19,95000,15,100000,-0.11
22,Marketing - Launch of new product,Bresil,Phase 1 - Planning,6/26/17 9:00,38,54500,30.5,50000,-0.14
22,Marketing - Launch of new product,Bresil,Phase 2 - Initiation,8/3/17 9:00,28.5,109000,23,100000,-0.14
31,Marketing - Launch of new product,Chine,Phase 2 - Initiation,9/2/17 9:00,51,222000,46,200000,-0.05
6,Marketing - Launch of new product,Albanie,Phase 3 - Implementation,7/10/17 9:00,27,184500,22.5,150000,-0.13
17,Marketing - Launch of new product,Espagne,Phase 1 - Planning,8/21/17 9:00,56,98000,61,100000,-0.01
27,Marketing - Launch of new product,La Reunion,Phase 3 - Implementation,12/12/17 9:00,28.5,156000,22.5,150000,0
18,Marketing - Launch of new product,Gabon,Phase 4 - Manufacturing,9/9/17 9:00,15,285000,12,300000,-0.11
21,Marketing - Launch of new product,Estonie,Phase 4 - Manufacturing,9/15/17 9:00,20,459000,18,450000,-0.06
31,Marketing - Launch of new product,Chine,Phase 1 - Planning,6/26/17 9:00,67.5,111000,61,100000,-0.05
33,Marketing - Launch of new product,Malte,Phase 2 - Initiation,1/3/18 9:00,23,90000,23,100000,-0.14
32,Marketing - Launch of new product,Turquie,Phase 2 - Initiation,3/23/18 9:00,25.5,127000,23,100000,-0.05
34,Marketing - Launch of new product,Israel,Phase 1 - Planning,10/16/17 9:00,62,108000,61,100000,-0.03
34,Marketing - Launch of new product,Israel,Phase 2 - Initiation,12/17/17 9:00,46.5,216000,46,200000,-0.03
35,Marketing - Launch of new product,Norvege,Phase 2 - Initiation,1/31/18 9:00,44,206000,46,200000,-0.11
33,Marketing - Launch of new product,Malte,Phase 4 - Manufacturing,12/27/17 9:00,18,405000,18,450000,-0.14
36,Marketing - Launch of new product,Portugal,Phase 1 - Planning,1/8/18 9:00,68,52500,61,50000,-0.01
37,Marketing - Launch of new product,Pologne,Phase 1 - Planning,12/4/17 9:00,58,63000,61,50000,-0.04
38,Marketing - Launch of new product,Grece,Phase 3 - Implementation,11/16/17 9:00,57.5,136500,45,150000,-0.05
10,Marketing - Launch of new product,Benin,Phase 2 - Initiation,7/5/17 9:00,17.5,62000,15.5,66666.66667,-0.12
11,Marketing - Launch of new product,Italie,Phase 1 - Planning,10/16/17 9:00,65,112000,61,100000,-0.13
13,Marketing - Launch of new product,Malaysie,Phase 3 - Implementation,1/3/18 9:00,29.5,136500,22.5,150000,0
19,Marketing - Launch of new product,Republique Chèque,Phase 4 - Manufacturing,2/20/18 9:00,34,909000,36,900000,-0.01
29,Marketing - Launch of new product,Indonesie,Phase 4 - Manufacturing,11/11/17 9:00,20.5,526500,18,450000,-0.1
30,Marketing - Launch of new product,Canada,Phase 4 - Manufacturing,8/23/17 9:00,46.5,927000,36,900000,-0.12
20,Marketing - Launch of new product,Colombie,Phase 2 - Initiation,8/21/17 9:00,26.5,122000,23,100000,-0.03
33,Marketing - Launch of new product,Malte,Phase 1 - Planning,12/4/17 9:00,30,45000,30.5,50000,-0.14
39,Marketing - Launch of new product,Danemark,Phase 4 - Manufacturing,9/7/17 9:00,41.5,1062000,36,900000,-0.07
40,Marketing - Launch of new product,Senegal,Phase 3 - Implementation,1/26/18 9:00,18,108000,15,100000,-0.12
41,Marketing - Launch of new product,Slovaquie,Phase 4 - Manufacturing,4/6/18 9:00,42.5,1071000,36,900000,-0.11
42,Marketing - Launch of new product,Lituanie,Phase 4 - Manufacturing,12/7/17 9:00,19,576000,18,450000,-0.08
19,Marketing - Launch of new product,Republique Chèque,Phase 1 - Planning,1/8/18 9:00,57.5,101000,61,100000,-0.01
29,Marketing - Launch of new product,Indonesie,Phase 3 - Implementation,11/11/17 9:00,25.5,175500,22.5,150000,-0.1
30,Marketing - Launch of new product,Canada,Phase 3 - Implementation,8/24/17 9:00,58,309000,45,300000,-0.12
31,Marketing - Launch of new product,Chine,Phase 3 - Implementation,8/16/17 9:00,49.5,333000,45,300000,-0.05
43,Marketing - Launch of new product,Luxembourg,Phase 3 - Implementation,1/8/18 9:00,54,378000,45,300000,0
23,Marketing - Launch of new product,Suisse,Phase 1 - Planning,2/12/18 9:00,74.5,122000,61,100000,-0.06
24,Marketing - Launch of new product,Ukraine,Phase 1 - Planning,2/17/18 9:00,29,51500,30.5,50000,-0.12
43,Marketing - Launch of new product,Luxembourg,Phase 4 - Manufacturing,1/6/18 9:00,43.5,1134000,36,900000,0
23,Marketing - Launch of new product,Suisse,Phase 3 - Implementation,4/10/18 9:00,55,366000,45,300000,-0.06
24,Marketing - Launch of new product,Ukraine,Phase 3 - Implementation,3/11/18 9:00,21.5,154500,22.5,150000,-0.12
26,Marketing - Launch of new product,Japon,Phase 2 - Initiation,12/27/17 9:00,54,218000,46,200000,-0.06
35,Marketing - Launch of new product,Norvege,Phase 3 - Implementation,1/17/18 9:00,43,309000,45,300000,-0.11
39,Marketing - Launch of new product,Danemark,Phase 3 - Implementation,9/8/17 9:00,51.5,354000,45,300000,-0.07
36,Marketing - Launch of new product,Portugal,Phase 2 - Initiation,3/17/18 9:00,51.5,105000,46,100000,-0.01
25,Marketing - Launch of new product,Togo,Phase 4 - Manufacturing,2/28/18 9:00,13,348000,12,300000,-0.07
26,Marketing - Launch of new product,Japon,Phase 3 - Implementation,12/9/17 9:00,53,327000,45,300000,-0.06
44,Marketing - Launch of new product,Jordanie,Phase 3 - Implementation,11/7/17 9:00,21.5,162000,22.5,150000,-0.14
39,Marketing - Launch of new product,Danemark,Phase 2 - Initiation,9/25/17 9:00,52.5,236000,46,200000,-0.07
45,Marketing - Launch of new product,Gambie,Phase 3 - Implementation,10/2/17 9:00,13.5,127000,15,100000,-0.07
40,Marketing - Launch of new product,Senegal,Phase 1 - Planning,1/8/18 9:00,24,36000,20.5,33333.33333,-0.12
40,Marketing - Launch of new product,Senegal,Phase 2 - Initiation,2/1/18 9:00,18,72000,15.5,66666.66667,-0.12
46,Marketing - Launch of new product,Macedoine,Phase 4 - Manufacturing,12/7/17 9:00,19,585000,18,450000,-0.14
41,Marketing - Launch of new product,Slovaquie,Phase 2 - Initiation,4/25/18 9:00,54,238000,46,200000,-0.11
43,Marketing - Launch of new product,Luxembourg,Phase 2 - Initiation,1/26/18 9:00,55.5,252000,46,200000,0
33,Marketing - Launch of new product,Malte,Phase 3 - Implementation,12/27/17 9:00,22.5,135000,22.5,150000,-0.14
32,Marketing - Launch of new product,Turquie,Phase 3 - Implementation,3/15/18 9:00,25,190500,22.5,150000,-0.05
35,Marketing - Launch of new product,Norvege,Phase 1 - Planning,12/4/17 9:00,58,103000,61,100000,-0.11
36,Marketing - Launch of new product,Portugal,Phase 3 - Implementation,3/1/18 9:00,50,157500,45,150000,-0.01
37,Marketing - Launch of new product,Pologne,Phase 3 - Implementation,1/17/18 9:00,43,189000,45,150000,-0.04
43,Marketing - Launch of new product,Luxembourg,Phase 1 - Planning,11/13/17 9:00,73.5,126000,61,100000,0
32,Marketing - Launch of new product,Turquie,Phase 4 - Manufacturing,3/14/18 9:00,20,571500,18,450000,-0.05
25,Marketing - Launch of new product,Togo,Phase 1 - Planning,2/12/18 9:00,21.5,38666.66667,20.5,33333.33333,-0.07
34,Marketing - Launch of new product,Israel,Phase 4 - Manufacturing,12/1/17 9:00,36.5,972000,36,900000,-0.03
44,Marketing - Launch of new product,Jordanie,Phase 1 - Planning,10/16/17 9:00,29,54000,30.5,50000,-0.14
35,Marketing - Launch of new product,Norvege,Phase 4 - Manufacturing,1/16/18 9:00,34.5,927000,36,900000,-0.11
47,Marketing - Launch of new product,Niger,Phase 4 - Manufacturing,12/20/17 9:00,12.5,270000,12,300000,-0.11
23,Marketing - Launch of new product,Suisse,Phase 4 - Manufacturing,4/8/18 9:00,44,1098000,36,900000,-0.06
24,Marketing - Launch of new product,Ukraine,Phase 4 - Manufacturing,3/11/18 9:00,17,463500,18,450000,-0.12
34,Marketing - Launch of new product,Israel,Phase 3 - Implementation,12/2/17 9:00,45.5,324000,45,300000,-0.03
44,Marketing - Launch of new product,Jordanie,Phase 4 - Manufacturing,11/7/17 9:00,17,486000,18,450000,-0.14
45,Marketing - Launch of new product,Gambie,Phase 4 - Manufacturing,10/2/17 9:00,11,381000,12,300000,-0.07
46,Marketing - Launch of new product,Macedoine,Phase 2 - Initiation,12/15/17 9:00,24,130000,23,100000,-0.14
48,Marketing - Launch of new product,Slovenie,Phase 2 - Initiation,4/20/18 9:00,50.5,220000,46,200000,-0.13
40,Marketing - Launch of new product,Senegal,Phase 4 - Manufacturing,1/26/18 9:00,14.5,324000,12,300000,-0.12
25,Marketing - Launch of new product,Togo,Phase 2 - Initiation,3/6/18 9:00,16.5,77333.33333,15.5,66666.66667,-0.07
26,Marketing - Launch of new product,Japon,Phase 1 - Planning,10/16/17 9:00,71.5,109000,61,100000,-0.06
44,Marketing - Launch of new product,Jordanie,Phase 2 - Initiation,11/14/17 9:00,22,108000,23,100000,-0.14
39,Marketing - Launch of new product,Danemark,Phase 1 - Planning,7/17/17 9:00,70,118000,61,100000,-0.07
45,Marketing - Launch of new product,Gambie,Phase 2 - Initiation,10/7/17 9:00,14,84666.66667,15.5,66666.66667,-0.07
37,Marketing - Launch of new product,Pologne,Phase 2 - Initiation,1/31/18 9:00,44,126000,46,100000,-0.04
46,Marketing - Launch of new product,Macedoine,Phase 3 - Implementation,12/7/17 9:00,23.5,195000,22.5,150000,-0.14
41,Marketing - Launch of new product,Slovaquie,Phase 1 - Planning,2/12/18 9:00,71.5,119000,61,100000,-0.11
48,Marketing - Launch of new product,Slovenie,Phase 3 - Implementation,4/4/18 9:00,49.5,330000,45,300000,-0.13
49,Marketing - Launch of new product,Ile Maurice,Phase 1 - Planning,9/18/17 9:00,29,57500,30.5,50000,-0.14
50,Marketing - Launch of new product,Serbie,Phase 4 - Manufacturing,2/3/18 9:00,20.5,576000,18,450000,-0.05
38,Marketing - Launch of new product,Grece,Phase 2 - Initiation,12/5/17 9:00,58.5,91000,46,100000,-0.05
49,Marketing - Launch of new product,Ile Maurice,Phase 3 - Implementation,10/10/17 9:00,21.5,172500,22.5,150000,-0.14
42,Marketing - Launch of new product,Lituanie,Phase 1 - Planning,11/13/17 9:00,32,64000,30.5,50000,-0.08
42,Marketing - Launch of new product,Lituanie,Phase 2 - Initiation,12/15/17 9:00,24,128000,23,100000,-0.08
51,Marketing - Launch of new product,Suede,Phase 1 - Planning,2/12/18 9:00,77.5,116000,61,100000,-0.13
51,Marketing - Launch of new product,Suede,Phase 2 - Initiation,5/1/18 9:00,58.5,232000,46,200000,-0.13
42,Marketing - Launch of new product,Lituanie,Phase 3 - Implementation,12/7/17 9:00,23.5,192000,22.5,150000,-0.08
45,Marketing - Launch of new product,Gambie,Phase 1 - Planning,9/18/17 9:00,18.5,42333.33333,20.5,33333.33333,-0.07
36,Marketing - Launch of new product,Portugal,Phase 4 - Manufacturing,2/27/18 9:00,40,472500,36,450000,-0.01
46,Marketing - Launch of new product,Macedoine,Phase 1 - Planning,11/13/17 9:00,32,65000,30.5,50000,-0.14
37,Marketing - Launch of new product,Pologne,Phase 4 - Manufacturing,1/16/18 9:00,34.5,567000,36,450000,-0.04
48,Marketing - Launch of new product,Slovenie,Phase 1 - Planning,2/12/18 9:00,66.5,110000,61,100000,-0.13
38,Marketing - Launch of new product,Grece,Phase 4 - Manufacturing,11/15/17 9:00,46,409500,36,450000,-0.05
50,Marketing - Launch of new product,Serbie,Phase 1 - Planning,1/8/18 9:00,34.5,64000,30.5,50000,-0.05
50,Marketing - Launch of new product,Serbie,Phase 2 - Initiation,2/12/18 9:00,26,128000,23,100000,-0.05
48,Marketing - Launch of new product,Slovenie,Phase 4 - Manufacturing,4/3/18 9:00,39.5,990000,36,900000,-0.13
47,Marketing - Launch of new product,Niger,Phase 1 - Planning,12/4/17 9:00,21.5,30000,20.5,33333.33333,-0.11
47,Marketing - Launch of new product,Niger,Phase 2 - Initiation,12/26/17 9:00,16,60000,15.5,66666.66667,-0.11
41,Marketing - Launch of new product,Slovaquie,Phase 3 - Implementation,4/7/18 9:00,53,357000,45,300000,-0.11
38,Marketing - Launch of new product,Grece,Phase 1 - Planning,9/18/17 9:00,77.5,45500,61,50000,-0.05
49,Marketing - Launch of new product,Ile Maurice,Phase 2 - Initiation,10/17/17 9:00,22,115000,23,100000,-0.14
50,Marketing - Launch of new product,Serbie,Phase 3 - Implementation,2/3/18 9:00,25.5,192000,22.5,150000,-0.05
49,Marketing - Launch of new product,Ile Maurice,Phase 4 - Manufacturing,10/10/17 9:00,17,517500,18,450000,-0.14
47,Marketing - Launch of new product,Niger,Phase 3 - Implementation,12/20/17 9:00,16,90000,15,100000,-0.11
51,Marketing - Launch of new product,Suede,Phase 4 - Manufacturing,4/11/18 9:00,46,1044000,36,900000,-0.13
51,Marketing - Launch of new product,Suede,Phase 3 - Implementation,4/12/18 9:00,57.5,348000,45,300000,-0.13
52,IT -  CRM Implementation,France,Initiation,1/4/18 9:00,11.5,854,11.5,700,-0.12
52,IT -  CRM Implementation,France,Preparation,8/21/17 9:00,136,19642,125,16100,-0.12
52,IT -  CRM Implementation,France,Development,9/2/17 9:00,98.5,25620,97.5,21000,-0.12
52,IT -  CRM Implementation,France,Testing,11/28/17 9:00,36.5,6832,9.5,5600,-0.12
52,IT -  CRM Implementation,France,Deployment,9/27/17 9:00,22.5,0,18.5,0,-0.12
52,IT -  CRM Implementation,France,Post-deployment,9/13/17 9:00,9,3416,9,2800,-0.12
53,IT -  CRM Implementation,Belgique,Initiation,10/20/17 9:00,11,749,11,700,-0.08
53,IT -  CRM Implementation,Belgique,Preparation,6/12/17 9:00,130,17227,127,16100,-0.08
53,IT -  CRM Implementation,Belgique,Development,6/23/17 9:00,94,22470,89,21000,-0.08
53,IT -  CRM Implementation,Belgique,Testing,9/14/17 9:00,35,5992,15.5,5600,-0.08
53,IT -  CRM Implementation,Belgique,Deployment,7/17/17 9:00,21.5,0,19.5,0,-0.08
53,IT -  CRM Implementation,Belgique,Post-deployment,7/4/17 9:00,8.5,2996,8.5,2800,-0.08
54,IT -  CRM Implementation,Hollande,Initiation,1/18/18 9:00,10,798,10,700,-0.04
54,IT -  CRM Implementation,Hollande,Preparation,9/18/17 9:00,122,18354,114,16100,-0.04
54,IT -  CRM Implementation,Hollande,Development,9/28/17 9:00,88.5,23940,86.5,21000,-0.04
54,IT -  CRM Implementation,Hollande,Testing,12/16/17 9:00,32.5,6384,32,5600,-0.04
54,IT -  CRM Implementation,Hollande,Deployment,10/21/17 9:00,20,0,20,0,-0.04
54,IT -  CRM Implementation,Hollande,Post-deployment,10/8/17 9:00,8,3192,8,2800,-0.04
55,IT -  CRM Implementation,Luxembourg,Initiation,4/3/18 9:00,11.5,847,11.5,700,0
55,IT -  CRM Implementation,Luxembourg,Preparation,11/13/17 9:00,140.5,19481,106.5,16100,0
55,IT -  CRM Implementation,Luxembourg,Development,11/25/17 9:00,102,25410,99,21000,0
55,IT -  CRM Implementation,Luxembourg,Testing,2/23/18 9:00,37.5,6776,21,5600,0
55,IT -  CRM Implementation,Luxembourg,Deployment,12/21/17 9:00,23,0,23,0,0
55,IT -  CRM Implementation,Luxembourg,Post-deployment,12/6/17 9:00,9.5,3388,9.5,2800,0
56,IT -  CRM Implementation,Italie,Initiation,2/10/18 9:00,10,665,10,700,-0.06
56,IT -  CRM Implementation,Italie,Preparation,10/16/17 9:00,117,15295,117,16100,-0.06
56,IT -  CRM Implementation,Italie,Development,10/26/17 9:00,85,19950,85,21000,-0.06
56,IT -  CRM Implementation,Italie,Testing,1/9/18 9:00,31.5,5320,31.5,5600,-0.06
56,IT -  CRM Implementation,Italie,Deployment,11/17/17 9:00,19.5,0,19.5,0,-0.06
56,IT -  CRM Implementation,Italie,Post-deployment,11/5/17 9:00,8,2660,8,2800,-0.06
57,IT -  CRM Implementation,Japon,Initiation,3/14/18 9:00,12.5,679,12.5,700,-0.04
57,IT -  CRM Implementation,Japon,Preparation,10/16/17 9:00,148.5,15617,112.5,16100,-0.04
57,IT -  CRM Implementation,Japon,Development,10/29/17 9:00,108,20370,102,21000,-0.04
57,IT -  CRM Implementation,Japon,Testing,2/1/18 9:00,40,5432,15.5,5600,-0.04
57,IT -  CRM Implementation,Japon,Deployment,11/25/17 9:00,24.5,0,18.5,0,-0.04
