created_time,Engaged_Fans,Engaged_Users,Impressions,Negative_Feedback,NonViral_impressions,NonViral_Reach,Post_Activity,Post_Activity_Unique,Post_Clicks,Unique_Post_Clicks,Post_reactions_anger,Post_reactions_haha,Post_reactions_like,Post_reactions_love,Post_reactions_sorry,Post_reactions_wow,Reach
16/10/2018 18:30,5120,13475,332993,10,133479,100417,9987,8437,7452,6614,0,10,6855,212,6,3,245868
16/10/2018 18:00,7165,22681,540309,16,165734,125861,19992,16216,11347,9732,1,11,13559,469,5,3,376797
16/10/2018 17:30,1825,3684,119687,3,79570,58651,2074,1702,2768,2347,3,2,1269,38,33,6,86940
16/10/2018 17:00,1650,5334,148800,6,82732,61058,4322,3660,2536,2294,0,0,3182,102,3,2,106627
16/10/2018 16:00,2379,6514,175719,7,86887,63358,4660,4061,3353,3014,0,2,3152,78,0,2,126295
16/10/2018 15:01,11339,35925,831601,17,205256,154215,28292,22788,20244,17754,3,65,18653,553,54,26,585024
16/10/2018 14:30,1370,4357,115140,4,87080,66774,3258,2917,2116,1923,0,3,2657,68,1,0,85325
16/10/2018 14:00,2291,8239,199524,5,113047,86315,6475,5823,3730,3370,0,4,4936,154,1,3,146620
16/10/2018 13:00,3423,9937,268883,4,130227,95823,7534,6331,5175,4837,2,3,5202,135,9,4,192901
16/10/2018 12:00,6013,17771,387797,12,159090,117258,11390,9359,11396,10256,1,8,7337,210,55,8,284817
16/10/2018 11:30,2946,7804,198274,7,102970,73919,5590,4460,5039,4340,1,5,3533,166,0,10,140515
16/10/2018 11:00,1318,3471,108059,1,69417,50713,2272,1840,2277,2046,1,2,1483,29,1,3,77810
16/10/2018 10:00,4105,12824,314627,9,121498,90838,10616,9215,6392,5567,0,2,7197,189,3,3,227871
16/10/2018 09:30,2494,8386,207880,8,99558,73960,6019,5338,4157,3607,1,8,4134,139,0,2,151568
16/10/2018 09:00,1606,4785,121887,4,62760,44805,3742,3140,2362,2060,1,9,2596,64,0,2,86249
16/10/2018 08:00,9212,28820,519965,13,194124,145105,23583,20914,13007,11880,2,46,17789,1050,3,16,373242
16/10/2018 07:00,10430,36719,872982,22,196702,145964,30740,24559,19794,16622,2,63,20738,933,2,15,621363
16/10/2018 06:30,1001,2518,66866,4,45099,33551,2090,1811,1046,998,0,0,1596,30,0,1,49931
16/10/2018 06:00,2421,6762,169229,3,73228,55879,4961,4127,3669,3245,2,2,3373,81,1,3,126088
16/10/2018 05:45,3527,11176,274051,5,104573,80247,9683,8007,5789,5225,0,1,6474,270,1,1,192764
16/10/2018 05:30,1586,3050,97434,3,55283,40031,2478,1972,1761,1514,0,2,1494,78,0,2,67778
16/10/2018 05:15,4219,11401,296022,13,99510,73299,9573,7585,6548,5732,2,1,6175,145,1,1,203632
16/10/2018 05:00,3279,8218,218788,6,83631,61368,7025,5751,4219,3589,1,1,4620,175,3,0,152920
15/10/2018 23:00,4532,13798,332404,10,152878,113038,11314,9471,7741,7084,0,3,7641,356,0,3,242920
15/10/2018 22:45,713,1499,59753,1,48739,34705,893,764,1011,890,0,0,615,23,0,1,42391
15/10/2018 22:30,2373,7828,188300,6,94160,69947,5563,4785,4200,3854,0,3,3904,107,1,2,137995
15/10/2018 22:00,963,2501,83442,6,62534,47198,1606,1357,1622,1420,0,0,1099,34,0,0,60011
15/10/2018 21:30,4532,18749,441161,12,161741,122455,14709,12001,9745,8840,2,4,10096,264,4,4,320123
15/10/2018 21:00,2147,6041,163097,4,98077,69931,3800,3230,3720,3294,0,1,2641,93,6,3,114357
15/10/2018 20:00,1267,3099,99845,6,61077,43363,2279,1980,1674,1468,0,1,1564,44,0,1,73039
15/10/2018 19:00,3538,9983,229620,10,118988,86759,8428,7359,4625,4267,0,1,6106,224,8,0,169325
15/10/2018 18:30,1150,3023,90234,2,63704,48476,1956,1711,1784,1531,0,6,1401,32,3,2,67162
15/10/2018 18:00,6848,24674,614267,17,204737,147885,18989,15657,13628,11805,10,26,13196,365,5,24,441575
15/10/2018 17:30,3660,12395,310874,6,132129,96135,9172,7667,7095,6207,0,1,6246,170,21,1,213564
15/10/2018 17:00,5731,17556,454631,10,165269,115423,14335,12015,9069,8223,8,22,9501,287,20,13,313623
15/10/2018 16:00,1173,2184,60882,1,33258,22716,1775,1464,1144,1046,0,0,1231,34,3,0,44241
15/10/2018 15:00,5343,16156,489126,8,178404,126208,12695,10275,9605,8161,44,38,7688,219,31,19,341706
15/10/2018 14:00,1698,5805,149541,6,90566,66655,4718,4039,2524,2276,0,3,3592,118,0,2,108265
15/10/2018 13:00,3757,10909,299696,15,128545,92657,8028,6537,7134,6012,2,96,4831,225,8,12,206734
15/10/2018 12:00,6226,21723,512963,15,196727,142597,15645,13357,12018,10663,1,13,10850,465,2,15,374904
15/10/2018 11:00,1216,4408,106040,5,72233,53770,3094,2788,2155,1941,0,0,2401,49,2,1,78433
15/10/2018 10:30,1606,4391,131817,7,85818,61596,2643,2187,2689,2511,0,2,1759,41,0,1,98255
15/10/2018 10:00,723,1476,54381,3,40927,28862,1062,872,905,783,0,1,722,29,1,1,38625
15/10/2018 09:30,744,1518,49594,1,31003,21354,1022,819,925,835,0,2,615,31,0,1,34852
15/10/2018 09:00,7306,22413,507572,16,146122,103959,16328,13335,13490,11715,4,18,11016,438,23,12,356453
15/10/2018 08:30,5397,17153,407041,13,127983,93038,14659,12222,8320,7546,0,3,10207,277,11,6,283176
15/10/2018 08:00,1652,3920,116901,4,59761,43098,2845,2267,2411,2099,1,1,1755,88,0,3,81575
15/10/2018 07:00,2749,9006,221034,13,92227,67548,7928,6838,3716,3279,1,4,5854,160,1,2,161460
15/10/2018 06:30,8897,32762,774136,22,223458,157654,32096,24511,16058,14640,1,12,22372,663,21,13,543791
15/10/2018 06:00,1079,2118,53804,3,24097,18122,1522,1200,1458,1225,0,0,902,32,0,1,38105
15/10/2018 05:45,1604,3555,108584,3,48395,35570,3221,2444,1985,1765,0,0,1971,69,1,0,76514
15/10/2018 05:30,1626,3726,107942,6,50693,37763,3346,2715,1821,1604,0,1,2214,57,2,0,76868
15/10/2018 05:30,8399,26916,587603,26,192291,138308,25547,21343,11938,10879,0,12,17922,652,4,13,413897
15/10/2018 05:15,7308,18247,505546,22,154387,104620,16125,12814,10175,8625,1,16,10387,446,2,2,334835
15/10/2018 05:00,3360,7342,210381,4,73095,51901,6627,5471,3597,3076,0,2,4247,159,0,0,142462
15/10/2018 05:00,1404,3678,98907,0,38931,28492,2959,2616,1818,1619,0,0,2064,48,1,0,72536
14/10/2018 23:30,2199,4626,151216,4,77188,54787,4036,3173,2530,2093,0,0,2527,84,0,0,108768
14/10/2018 23:00,1974,5600,142090,3,88718,66706,3813,3365,2883,2601,0,1,2798,87,2,4,104880
14/10/2018 22:30,1610,4251,119600,3,67603,48507,3459,2859,2011,1852,1,0,2349,81,1,3,83342
14/10/2018 22:00,1390,4704,133304,5,90932,68835,3378,2875,2490,2291,1,0,2481,61,2,3,97915
14/10/2018 21:00,1127,3010,107821,4,82044,59949,2156,1837,1606,1440,0,0,1512,39,1,0,76529
14/10/2018 20:00,1105,3618,127436,3,83384,61548,2809,2360,1905,1787,0,0,1857,48,2,0,92396
14/10/2018 19:00,2088,5710,194403,3,125902,86626,3530,2875,3728,3259,0,0,2220,62,0,2,132355
14/10/2018 18:00,2369,6228,191944,8,121655,86973,3868,3284,3772,3355,1,6,2578,67,16,6,138654
14/10/2018 17:30,3702,11299,294960,7,148599,112112,8291,7253,6154,5519,1,3,6024,152,2,8,212806
14/10/2018 17:00,3672,11558,341212,9,140079,102530,9901,7878,6416,5706,1,5,6624,277,3,2,237729
14/10/2018 16:00,1770,4332,148934,5,89155,61698,2881,2270,3002,2573,1,1,1698,43,25,4,99045
14/10/2018 15:17,1857,3477,67978,4,62448,44820,1077,966,3024,2745,0,1,892,47,0,1,48945
14/10/2018 15:00,788,1586,65010,3,49482,33876,1095,953,813,727,0,0,766,20,0,0,42529
14/10/2018 14:00,5325,16544,373185,10,148308,106892,14943,12782,7116,6531,1,10,10877,341,5,6,252925
14/10/2018 13:00,6482,21378,524933,16,175931,126237,15547,12952,11936,10761,6,13,10406,375,39,24,356770
14/10/2018 12:00,5571,23371,515609,13,154952,115425,20347,17892,10684,9514,3,10,14625,346,252,6,357987
14/10/2018 11:00,2823,6342,211884,10,128041,91758,3660,3010,4422,3860,0,2,2180,149,16,4,145172
14/10/2018 10:00,5807,19584,485845,16,155801,114528,16397,13603,10136,9008,2,3,11241,328,2,8,366054
14/10/2018 09:00,5286,15746,465944,20,162408,114629,11750,9737,9070,7803,2,25,7614,187,112,8,310243
14/10/2018 08:00,17922,76558,1680204,35,260656,187450,58852,48014,47794,39965,8,1366,37914,1652,12,116,1112171
14/10/2018 07:00,2745,7294,198752,6,92439,68964,5912,4764,3737,3192,1,2,3850,141,1,4,141693
14/10/2018 06:00,1670,4754,141739,6,66656,48099,3520,2908,2455,2261,0,5,2235,70,5,4,97012
14/10/2018 05:45,4097,12227,296256,4,123748,93765,10214,8374,6611,5915,0,1,7285,155,1,4,214664
14/10/2018 05:30,1021,1760,61874,3,37662,25945,1586,1273,834,726,0,0,1011,51,1,1,43188
14/10/2018 05:15,5884,17443,436171,16,128264,92349,15463,12449,9023,7913,1,6,10207,320,0,2,293682
14/10/2018 05:00,2003,4180,120025,5,50980,38163,3865,2976,1962,1730,1,0,2529,86,1,1,86806
13/10/2018 23:45,2006,4505,130312,7,70095,50147,3706,3054,2231,1938,0,4,2443,113,0,6,90202
13/10/2018 23:00,3192,8925,227511,10,118619,86435,7422,6297,4040,3732,0,3,5420,141,6,5,158632
13/10/2018 22:45,4597,14727,362751,9,143805,103428,11143,9761,7177,6390,0,9,8006,234,8,5,252210
13/10/2018 22:30,3961,9867,263756,6,124488,88057,8477,7360,4036,3583,1,3,6093,227,3,2,180802
13/10/2018 22:00,1673,4980,156836,5,81624,60077,3362,2884,3179,2851,0,2,2366,72,0,2,110542
13/10/2018 21:00,2099,6015,166316,6,84854,58895,3976,3360,3340,3126,0,3,2616,79,2,6,117362
13/10/2018 20:00,2027,5950,147937,4,88333,66532,5304,4616,2036,1775,0,1,4122,140,1,2,105880
13/10/2018 19:00,2467,6493,200572,3,95760,69198,4637,3821,3948,3370,0,3,2904,130,5,1,139928
13/10/2018 18:30,998,2480,81101,2,62268,45652,1857,1655,1298,1161,0,0,1385,33,0,0,57180
13/10/2018 18:00,5757,19727,505854,12,160271,118807,13656,11530,11336,10283,5,25,8749,264,38,26,346805
13/10/2018 17:00,4891,15763,428461,19,144661,109817,11154,9325,9629,8539,2,33,7673,163,12,11,293865
13/10/2018 16:00,1531,3873,125936,5,74092,52888,2557,2152,2495,2071,3,2,1619,39,0,0,87003
13/10/2018 15:00,7154,24522,633414,16,181067,130391,19258,15006,15382,13094,7,23,11834,731,11,15,434408
13/10/2018 14:00,1641,5014,140959,12,82471,60172,3666,3197,2443,2190,0,1,2686,81,0,2,99089
13/10/2018 13:00,3391,8256,265112,6,104255,71653,6729,5463,4348,3907,4,13,4306,129,8,6,184188
13/10/2018 12:00,2101,6276,157028,7,87350,64069,5003,4340,2929,2719,0,0,3551,118,1,2,115272
13/10/2018 11:00,1182,3063,86475,5,63052,47113,2211,1902,1609,1450,1,12,1541,38,1,5,61097
13/10/2018 10:00,948,2392,83294,1,47648,33958,2028,1626,1412,1127,0,0,1337,49,0,1,56680
13/10/2018 09:00,2357,6103,194566,3,97020,73252,4581,3583,3570,3178,0,2,2818,150,1,3,138379
13/10/2018 08:00,6840,23427,567653,14,143769,106374,18647,15663,11890,10828,20,47,12422,252,57,22,386505
13/10/2018 07:00,4053,13846,323374,14,119586,89147,12250,9923,6345,5683,2,5,8680,242,18,2,232432
13/10/2018 06:30,3471,10195,264203,10,102032,76500,8889,7179,5355,4754,1,0,5860,216,3,2,186215
13/10/2018 06:00,8558,25014,565139,16,150899,113567,22107,18605,10694,9447,2,19,16682,744,5,11,395093
13/10/2018 05:45,5409,14096,335952,11,139769,102298,12475,10254,6681,5902,3,7,9084,344,0,4,230432
13/10/2018 05:30,1882,3913,98635,4,42558,30229,3599,3023,1531,1396,0,1,2466,89,0,1,69444
13/10/2018 05:15,8618,19413,478978,21,147282,104339,15538,11867,12378,10425,0,8,9742,383,0,1,317979
13/10/2018 05:00,2678,5790,153636,5,65420,45864,5384,4283,2433,2175,0,1,3577,167,1,1,107108
12/10/2018 23:30,1865,3527,112516,7,62114,44958,2736,2079,2192,1956,0,0,1611,72,0,1,77310
12/10/2018 23:00,1245,3108,92490,2,56199,42607,2314,1995,1587,1424,0,1,1720,46,0,0,64484
12/10/2018 22:30,1064,2552,82532,3,48549,35713,1983,1646,1360,1232,0,2,1275,52,4,1,59094
12/10/2018 22:00,584,1162,49756,1,42145,31285,816,734,589,540,0,0,624,13,0,0,35979
12/10/2018 21:00,2310,6391,171344,4,92815,69438,4220,3538,3829,3466,1,1,2733,102,6,1,120823
12/10/2018 20:30,1200,3428,113515,4,47754,34348,2753,2267,1912,1675,0,1,1807,102,2,1,77726
12/10/2018 19:30,6391,20917,502288,15,150250,111807,17517,14423,11190,9829,1,6,12267,396,11,6,345395
12/10/2018 19:00,4616,13784,389097,10,132290,95243,10452,8726,7615,6737,4,9,6705,217,5,6,260296
12/10/2018 18:30,2304,5756,181373,6,81872,59652,4491,3726,2701,2418,1,5,2989,78,0,2,126897
12/10/2018 18:00,1152,2113,52470,3,29096,19736,1794,1503,956,895,0,0,1280,39,1,0,35504
12/10/2018 17:30,4173,10939,249245,6,102129,76346,8361,7109,4931,4514,1,7,6185,208,6,3,176926
12/10/2018 17:00,1031,2074,60918,3,37397,26077,1660,1349,1112,945,0,0,1133,48,0,0,44102
12/10/2018 15:00,3927,9379,241915,11,79928,55354,7214,6103,4769,4275,0,6,4894,121,15,1,166511
12/10/2018 14:00,1063,1630,51324,1,35933,24619,1072,934,975,834,0,0,759,29,0,1,36092
12/10/2018 13:00,1495,2803,83189,5,42145,28992,2403,1892,1421,1251,1,3,1581,77,0,2,58929
12/10/2018 12:00,1796,3789,109732,4,51188,35218,3087,2457,1946,1751,0,0,1971,89,0,1,75417
12/10/2018 11:30,6185,16575,397929,13,90307,60885,13517,11001,8454,7363,12,14,9060,306,46,10,269275
12/10/2018 11:00,5486,13130,313456,6,92082,63948,10693,8698,6867,6213,3,9,7243,201,32,12,220442
12/10/2018 10:30,9433,27563,649054,10,136292,94875,21367,16976,16944,14139,5,59,13934,911,9,35,438294
12/10/2018 10:00,2184,4357,115630,5,48578,32519,3532,2912,2211,1959,0,4,2327,93,0,3,79732
12/10/2018 09:00,8445,22489,561473,15,124101,87727,18263,14133,13167,11413,5,18,12007,400,20,15,372194
12/10/2018 08:30,2273,4478,129133,9,50436,35238,3551,2946,2488,2213,2,24,2366,56,0,5,88435
12/10/2018 08:00,1470,2827,70866,0,28117,19638,2604,2130,1130,1011,0,1,1804,43,3,0,49065
12/10/2018 07:30,4946,12980,303095,8,74421,51714,11129,9359,5818,5508,3,5,7437,241,16,4,207051
12/10/2018 07:00,1044,1993,57568,2,27322,18960,1634,1418,785,709,0,0,1138,24,0,0,39864
12/10/2018 06:30,5528,11666,305829,16,101485,70526,10449,8203,6293,5493,0,2,6715,340,5,3,195909
12/10/2018 06:00,9533,28300,716428,19,142599,100038,23630,18554,14823,12817,5,20,15420,801,40,14,473766
12/10/2018 05:45,10171,26433,589301,13,138475,96149,21182,17952,13758,11927,1,12,15278,809,2,9,401550
12/10/2018 05:30,5251,11796,304620,13,91047,64091,10070,7837,6778,5733,1,4,6505,172,0,3,211490
12/10/2018 05:01,2207,4173,114020,3,48461,34987,3824,3063,1822,1610,0,4,2622,73,0,0,80520
11/10/2018 23:00,1046,1593,47138,0,30773,21513,1323,1103,740,654,0,1,917,35,0,1,32098
11/10/2018 22:30,5431,14543,343026,7,84462,60053,13299,11006,6960,6242,1,10,9603,337,4,11,226296
11/10/2018 22:00,1384,2609,79649,3,40417,28333,2233,1835,1287,1108,1,1,1546,60,1,1,57225
11/10/2018 21:30,1897,3455,91912,2,44592,31346,2752,2328,1742,1524,1,2,1894,65,1,1,63086
11/10/2018 21:00,3081,6288,172909,5,62647,44015,5209,4374,2860,2605,0,4,3650,82,3,4,117607
11/10/2018 20:00,3996,8860,210603,4,72408,50405,7745,6427,4258,3827,0,2,5569,194,7,3,147870
11/10/2018 19:00,1119,2267,66306,4,32925,21826,1924,1664,1072,956,0,0,1475,41,0,1,45890
11/10/2018 18:30,3216,5129,128145,12,83764,58283,2611,2279,3942,3434,0,1,1845,83,13,3,88543
11/10/2018 18:00,1355,2079,73309,3,45497,31538,1323,1029,1558,1288,1,1,795,46,1,1,50034
11/10/2018 17:30,1890,8308,135947,3,43374,29450,6696,6129,3846,3439,0,2,5683,76,1,7,102388
11/10/2018 17:00,3402,7504,217182,7,74902,53275,6151,4859,4157,3555,1,8,4028,82,2,3,146640
11/10/2018 16:00,737,1127,39475,0,27878,18755,882,763,553,506,0,1,613,23,0,1,26624
11/10/2018 15:00,1744,2884,78052,2,44352,29637,2067,1753,1696,1474,0,5,1403,39,14,2,51485
11/10/2018 14:00,1808,3808,107382,4,45393,31950,2942,2427,1951,1789,1,3,2071,73,11,2,73955
11/10/2018 13:00,12710,39789,850435,13,171103,116110,32097,26129,23507,19704,5,32,22201,935,21,27,557557
11/10/2018 12:00,8635,31360,647895,12,115822,79655,25732,21103,17565,15247,0,5,18442,615,28,8,429899
11/10/2018 10:30,1990,3560,109242,2,51117,36145,2382,1961,2355,2063,1,3,1540,69,0,1,75583
11/10/2018 09:00,7347,18631,422887,6,103083,72102,14395,11679,10697,9235,2,7,9671,447,3,12,286557
11/10/2018 08:00,4399,10841,233856,5,66604,47992,10233,8413,4402,3920,0,8,7545,210,2,8,171130
11/10/2018 07:30,10067,29408,739070,22,141151,100475,23632,19164,18481,15177,5,83,15636,580,4,102,495462
11/10/2018 07:00,4694,12556,295884,7,70909,50916,12056,9490,5960,5365,1,3,7728,300,61,3,202706
11/10/2018 06:30,3045,6887,171510,1,58919,43193,6162,5208,2986,2753,0,9,4338,111,0,1,118541
11/10/2018 06:00,2164,4235,112977,5,45859,32474,3233,2689,2035,1867,0,1,2266,73,2,5,79972
11/10/2018 05:45,3527,7041,186617,5,74659,51427,5481,4505,4030,3618,1,3,3762,211,2,0,132339
11/10/2018 05:30,3028,5500,161601,2,71213,49815,4584,3732,2867,2470,0,0,2923,99,0,1,108277
11/10/2018 05:15,5881,12921,347626,9,106682,72734,10984,8432,7485,6561,0,5,7078,287,0,12,239051
11/10/2018 05:01,6101,16256,365559,9,90951,61460,14484,11845,8332,7159,2,7,9841,389,5,2,254925
10/10/2018 23:00,912,1485,47188,0,31595,21829,1164,1029,615,567,1,0,858,29,1,2,32171
10/10/2018 22:45,1166,1796,61667,0,37136,26019,1290,1071,1021,926,1,1,846,40,0,0,40936
10/10/2018 22:30,1454,3324,77754,2,35662,25666,2992,2474,1515,1320,0,1,2202,86,1,0,55428
10/10/2018 22:00,3560,7474,188044,6,69707,48340,6118,5194,3759,3329,0,1,4315,196,1,5,131274
10/10/2018 21:26,6980,17462,442569,9,108848,74172,13908,11348,10560,9241,37,146,8594,209,115,66,290547
10/10/2018 20:00,854,1591,50573,2,30041,20046,1272,1063,821,706,0,1,859,38,4,0,34135
10/10/2018 19:30,4505,10333,286507,9,86125,60173,7898,6368,5900,5189,9,58,5063,114,40,13,194129
10/10/2018 19:00,3072,6682,174956,5,69430,49259,4939,4061,3768,3269,0,4,3611,137,0,6,125316
10/10/2018 18:30,1634,2357,79810,3,55181,37908,1384,1173,1567,1364,0,0,1024,38,0,1,54893
10/10/2018 18:00,2118,4003,107296,2,51020,36117,3636,3117,1569,1378,2,3,2621,113,5,3,72591
10/10/2018 17:30,1643,2892,82526,1,48168,33140,1859,1533,1926,1632,0,4,1269,61,2,2,56715
10/10/2018 17:00,1406,2584,69416,2,33285,22875,2275,1887,1120,996,0,0,1588,73,3,2,48090
10/10/2018 16:30,486,674,32019,0,24786,16875,426,336,447,398,1,2,257,7,1,0,22000
10/10/2018 16:00,1575,2847,81459,0,39165,26208,2258,1875,1428,1295,0,2,1539,36,3,2,54442
10/10/2018 15:00,4816,11009,252228,1,70420,49290,9376,8031,5184,4655,1,5,6732,184,3,5,175193
10/10/2018 14:30,1177,1756,60100,2,41667,28862,1156,959,1128,998,0,1,795,53,4,0,42062
10/10/2018 14:00,2115,4946,148094,1,56454,37772,3973,3471,2413,2161,2,7,2679,91,0,3,98979
10/10/2018 13:00,7575,27596,559941,15,250235,186159,27654,23177,12774,11433,5,10,18896,543,109,4,365425
10/10/2018 12:00,8096,26124,588297,6,102832,74324,21692,18051,13332,11418,1,6,14752,626,35,12,393630
10/10/2018 11:30,12280,32500,714159,17,146548,101429,28988,23899,14813,12972,1,40,20513,1156,58,35,493744
10/10/2018 11:00,6766,20167,429005,8,90980,65367,15888,13481,10419,9604,2,24,11226,593,0,14,290012
10/10/2018 10:00,573,887,35684,0,24470,16445,622,504,540,470,0,0,430,19,1,2,24337
10/10/2018 09:30,1796,3636,94349,0,39152,26106,2813,2291,2089,1852,1,19,1787,50,8,3,63425
10/10/2018 09:00,3428,9169,209628,7,55216,38826,7931,6577,4352,3776,0,5,5665,427,11,8,142779
10/10/2018 08:30,11864,38721,850351,20,132249,94172,29887,23837,23707,20349,1,22,20123,923,34,22,584313
10/10/2018 08:00,707,1223,32167,0,22454,15196,964,852,523,469,0,3,679,22,0,0,21836
10/10/2018 07:30,6542,19204,436452,8,80853,55942,19187,15142,9311,8598,1,4,13065,551,37,7,292275
10/10/2018 07:00,1355,2570,70889,1,34340,23452,2559,1943,1398,1185,0,1,1533,59,1,0,48409
10/10/2018 06:30,4425,10355,239276,8,58897,41455,8684,7302,4899,4291,0,3,6030,171,5,5,165292
10/10/2018 06:00,1021,1801,46854,0,22265,15641,1427,1191,899,776,1,2,991,24,1,0,31857
10/10/2018 06:00,3624,8881,226510,7,70242,50251,7486,6161,4535,3927,0,5,4905,299,66,1,154640
10/10/2018 05:45,4560,10864,243801,9,73590,50901,9900,8407,5152,4425,0,6,7089,284,0,1,173427
10/10/2018 05:30,8411,23400,497972,11,96574,69242,21954,17390,11122,9523,3,13,15399,685,3,5,351577
10/10/2018 05:15,2976,5545,143886,11,67581,49877,4506,3412,3150,2601,0,3,2792,129,1,1,102701
10/10/2018 05:00,8913,22272,454690,13,111118,76861,21047,17463,9268,8258,0,11,15351,712,10,7,316877
09/10/2018 23:00,1085,1982,57346,2,31198,21885,1576,1299,1099,951,0,1,1080,30,2,2,39216
09/10/2018 22:30,3920,8710,214911,7,68424,49337,7249,6037,4315,3954,0,3,4977,175,3,3,149948
09/10/2018 22:00,932,1337,50205,2,38185,26178,1175,1019,524,470,1,0,861,18,0,0,33588
09/10/2018 21:00,1811,4061,87788,5,39143,27700,3637,3045,1570,1462,0,0,2748,77,0,4,63061
09/10/2018 20:00,1610,2780,79344,2,44023,30894,2127,1756,1543,1380,0,0,1392,46,1,1,54464
09/10/2018 19:01,4291,10085,260088,10,66217,45958,8027,6374,6102,5460,1,8,5173,153,4,14,182614
